,RowID,Molecule name,Original_SMILES,Number of connected components,Canonical_QSARr,InChI_Code_QSARr,InChI Key_QSARr,Salt_Solvent,Salt_Solvent_ID,MACE_opt_Charge_P,DFT_opt_Charge_P,SMILES_Charge_P
139,156,Molecule_156,OP(=O)(F)C1C2CCCC21,1,OP(=O)(F)C1C2CCCC21,InChI=1S/C6H10FO2P/c7-10(89)6-4-2-1-3-5(4)6/h4-6H1-3H2(H89),SVIZDUNIHBNSJH-UHFFFAOYSA-N,,0,0.473674,0.472544,0.49625
140,157,Molecule_157,OP(=O)(F)CC1C2CC1C2,1,OP(=O)(F)CC1C2CC1C2,InChI=1S/C6H10FO2P/c7-10(89)3-6-4-1-5(6)2-4/h4-6H1-3H2(H89),BUKQCUOWUBGWTC-UHFFFAOYSA-N,,0,0.476512,0.477506,0.459851
141,158,Molecule_158,CC1CC(CC=C1)P(O)(=O)F,1,CC1CC(CC=C1)P(O)(=O)F,InChI=1S/C7H12FO2P/c1-6-3-2-4-7(5-6)11(89)10/h2-36-7H4-5H21H3(H910),OMHCSJCKRGQAQJ-UHFFFAOYSA-N,,0,0.474705,0.47563,0.497367
142,159,Molecule_159,OP(=O)(F)C1CC2(C1)CC2,1,OP(=O)(F)C1CC2(C1)CC2,InChI=1S/C6H10FO2P/c7-10(89)5-3-6(4-5)1-2-6/h5H1-4H2(H89),COLCJVOZNAKNKM-UHFFFAOYSA-N,,0,0.472227,0.471977,0.486634
143,160,Molecule_160,OP(=O)(F)C12CC=C1C2,1,OP(=O)(F)C12CC=C1C2,InChI=1S/C5H6FO2P/c6-9(78)5-2-1-4(5)3-5/h1H2-3H2(H78),HDANQHCBFDEVEP-UHFFFAOYSA-N,,0,0.457273,0.46427,0.46653
145,162,Molecule_162,OP(=O)(F)C12CCC31CC32,1,OP(=O)(F)C12CCC31CC32,InChI=1S/C6H8FO2P/c7-10(89)6-2-1-5(6)3-4(5)6/h4H1-3H2(H89),IAHRKBHTBAFGID-UHFFFAOYSA-N,,0,0.469585,0.468206,0.476536
146,163,Molecule_163,CC(=C)C=C=CCP(O)(=O)F,1,CC(=C)C=C=CCP(O)(=O)F,InChI=1S/C7H10FO2P/c1-7(2)5-3-4-6-11(89)10/h4-5H16H22H3(H910),OCKDIRGTVDTHCI-UHFFFAOYSA-N,,0,0.476524,0.478394,0.480065
147,165,Molecule_165,OP(=O)(F)CC=CC1CCC1,1,OP(=O)(F)CC=CC1CCC1,InChI=1S/C7H12FO2P/c8-11(910)6-2-5-7-3-1-4-7/h257H13-46H2(H910),IWIBWZREXBWSTQ-UHFFFAOYSA-N,,0,0.477318,0.47643,0.487044
148,166,Molecule_166,OP(=O)(F)CC1CCC2CCC12,1,OP(=O)(F)CC1CCC2CCC12,InChI=1S/C8H14FO2P/c9-12(1011)5-7-2-1-6-3-4-8(6)7/h6-8H1-5H2(H1011),CEPDOKLMQFXPEC-UHFFFAOYSA-N,,0,0.479442,0.479857,0.491136
149,167,Molecule_167,OP(=O)(F)CC1C2CCC21,1,OP(=O)(F)CC1C2CCC21,InChI=1S/C6H10FO2P/c7-10(89)3-6-4-1-2-5(4)6/h4-6H1-3H2(H89),OGZJAEQMISZNFZ-UHFFFAOYSA-N,,0,0.479431,0.479444,0.487201
150,168,Molecule_168,C=C1CC1CCCP(O)(=O)F,1,C=C1CC1CCCP(O)(=O)F,InChI=1S/C7H12FO2P/c1-6-5-7(6)3-2-4-11(89)10/h7H1-5H2(H910),SEEVSXKGZAFGDS-UHFFFAOYSA-N,,0,0.48023,0.478617,0.493205
153,171,Molecule_171,OP(=O)(F)C1=CC=CCC=C1,1,OP(=O)(F)C1=CC=CCC=C1,InChI=1S/C7H8FO2P/c8-11(910)7-5-3-1-2-4-6-7/h13-6H2H2(H910),SLAPFDWBLQIDGR-UHFFFAOYSA-N,,0,0.469144,0.470325,0.484953
154,172,Molecule_172,OP(=O)(F)CC12CC1CC2,1,OP(=O)(F)CC12CC1CC2,InChI=1S/C6H10FO2P/c7-10(89)4-6-2-1-5(6)3-6/h5H1-4H2(H89),ZTOUYJAXIHSMFA-UHFFFAOYSA-N,,0,0.480527,0.480756,0.489577
155,173,Molecule_173,CC1C2CC1C2P(O)(=O)F,1,CC1C2CC1C2P(O)(=O)F,InChI=1S/C6H10FO2P/c1-3-4-2-5(3)6(4)10(78)9/h3-6H2H21H3(H89),BNJNJLCBYDYSOK-UHFFFAOYSA-N,,0,0.475418,0.47584,0.502156
156,174,Molecule_174,OP(=O)(F)CC1CCCC=CC=1,1,OP(=O)(F)CC1CCCC=CC=1,InChI=1S/C8H12FO2P/c9-12(1011)7-8-5-3-1-2-4-6-8/h135H246-7H2(H1011),AMGNBIUEBAPMEQ-UHFFFAOYSA-N,,0,0.481372,0.478069,0.490974
