,Original_SMILES,QED,SA_score
68,Cc1ccc(Oc2nc3ccccc3nc2N2CCN(C)CC2)cc1,0.7333676791010711,2.0809787388109946
69,O=C1CC(c2ccc(-c3ccccc3)cc2)c2c(ccc3ccccc23)N1,0.4736753202212427,2.451899417372765
70,CC(=O)NC(C(=O)N1CCSCC1)[C@H]1CC(C(=O)O)C[C@@H]1N=C(N)N,0.3505637406832648,4.201073504623801
71,CCCc1cnnn1-c1c(Cl)cc(C(F)(F)F)cc1Cl,0.8294270023483533,2.708095282570925
72,O=C(O)C(=O)Nc1nc(-c2cc(Cl)no2)cs1,0.8028947277728011,2.673363144852013
73,CCc1c(C)[nH]c2c1/C(=N/OC(=O)NCCc1cccnc1)CCC2,0.6473391896165672,2.861407005407411
74,CCC[C@@H]1NC(=O)[C@@H](C(C)C)NC(=O)[C@@H](Cc2ccc(O)cc2)NCc2ccccc2CCCCNC1=O,0.41369679202126003,4.152430801499681
75,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)CCc1ccccn1)CC2,0.6510401981578805,2.4422975443201143
81,O=C(NC[C@@H]1CCCNC1)[C@H]1CCCN1C(=O)[C@@H]1C[C@@H](O)CN1C(=O)CC(c1ccc(F)cc1)(c1ccc(F)cc1)c1ccc(F)cc1,0.30216666239268075,4.074199648174563
82,CCC(C)CNc1nc(C#N)nc2c1NCN2Cc1ccccc1,0.8503034865296245,3.2627037678859647
83,CCOC(=O)COC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,0.5069993829172298,3.5630578114756952
84,CC[C@@H](c1ccc(C(F)(F)F)cc1)N1CCN(C2(C)CCN(C(=O)c3c(C)ncnc3C)CC2)C[C@@H]1C,0.5413993206524734,3.725704654774523
85,CCCCCCC[C@H]1OC(=O)C[C@@H](O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)OC(=O)[C@H]1C,0.3429322162841547,4.458686550253125
86,CCCN1c2cc(C)nc3c(-c4ccc(Cl)cc4Cl)nn(c23)C[C@@H]1CC,0.5721730221039898,3.303917808012102
91,N=C(N)NC(=O)OCc1cccc(N2CCC(Oc3cccnc3)CC2)c1F,0.5362241149281305,2.681989275431894
93,CCCCc1oc2ccccc2c1Cc1cccc(/C(C)=C/Cn2oc(=O)[nH]c2=O)c1,0.4406688905532689,2.9463935912428454
94,C[C@H](NC(=O)[C@H]1Cc2c(sc3ccccc23)CN1)c1ccccc1.Cl,0.7224714935674793,3.108574923643303
96,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1CN1CCN(C(c2ccccc2)c2ccccc2)CC1,0.27612342590943917,2.2750744721006644
97,COC(=O)c1cc(CCc2ccc(OC)cc2OC)ccc1O,0.8300525278976953,1.9359352056661425
98,C=C(CO)[C@]12C=C3C(=O)C[C@@H](C(C)C)[C@]3(C)C[C@@H](O)[C@@]1(C)CC(=O)O2,0.603150390952709,5.160731988456093
100,C=C(CC(O)C(C)(O)[C@H]1CC[C@H]2C3=C[C@H](OC(C)=O)[C@H]4[C@@H](OC(C)=O)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,0.3126826442142652,5.412113459881956
101,O=c1[nH]cnc2c1ncn2C(COCCP(=O)(O)O)COCCP(=O)(O)O,0.2192832069969306,3.626563799675859
102,N=C(N)N1CCC[C@H]1Cc1nc(-c2ccc(Nc3nc(-c4cc(C(F)(F)F)ccc4F)cs3)cc2)no1,0.1669331034876805,3.28759540015444
103,CC1(c2ccccn2)ON=C(c2ccccc2Cl)O1,0.8437128921440573,3.238537189269051
107,c1ccc2cc(CC3=NCCN3)ccc2c1,0.808264511684447,2.2194436676560247
108,Cn1c(=O)c2c3c(cnc2n(C)c1=O)C(=O)C=CC3=O,0.6479358964407264,2.679272205647848
109,NCCCCN(Cc1ccc(OCCc2ccccc2)cc1)Cc1ccc(OCCc2ccccc2)cc1.O=C(O)C(F)(F)F,0.1276270891021785,2.4802166299430706
110,CN(CCNC(=O)N1CCN(c2ccccc2)CC1)Cc1ccccc1,0.868662006937775,1.8707464935122449
112,Cc1ccc[n+](CCC#Cc2ccc(C#CCC[n+]3cccc(C)c3)cc2)c1.[Br-].[Br-],0.2689931177204244,3.4367157909799504
116,CCCCCCCC/C=C\CCCCCCCC(=O)N1CCc2cc(OC)c(OC)cc2C1Cc1ccc(OC)c(OC)c1,0.1045102936273584,3.1760394184815164
118,N=C(NCCCNCCCCCCCNCCCNC(=N)NCc1ccccc1)NCc1ccccc1,0.07874063508880758,2.609912653234087
119,CN1CCc2cccc3c2[C@H]1Cc1ccc(CO)c(O)c1-3,0.8442887865057432,3.029198999043836
